&;e t
kaupungista;k a1 U p U N i s t a
kaupunki;k a1 U p U N k i
kauranne;k a1 U r a nn e
kauri;k a1 U r i
kaurismäki;k a1 U r i s m {2 k i
kaurismäkifilm;k a1 U r i s m { k i f i2 l m
kaurismäkiplagiatet;k a1 U r i s m { k i p l a g i a:2 t e t
kaurismäkis;k a1 U r i s m {2 k i s
kausalan;k a1 U s a l a n
kausaliteten;k au s a l i t e:1 t e n
kaust;k au1 s t
kaustarbarnen;k au1 s t a r b a:2 rn e n
kaustarområdet;k au1 s t a r o2 mm r o: d e t
kaustarvägen;k au1 s t a r v e:2 g e n
kaustarviken;k au1 s t a r v i:2 k e n
kaustbyandan;k au1 s t b y: a2 n d a n
kaustbybon;k au1 s t b y: b U:2 n
kaustbybor;k au1 s t b y: b U:2 r
kaustbybördiga;k au1 s t b y: b 9:2 rd i g a
kaustbyborna;k au1 s t b y: b U:2 rn a
kaustbyfestivalen;k au1 s t b y: f e s t i v a:2 l e n
kaustbylaget;k au1 s t b y l a:2 g e t
kaustbyregionen;k au1 s t b y: r e g i U:2 n e n
kaustbysalen;k au1 s t b y: s a:2 l e n
kaustbystiftelse;k au1 s t b y: s t i2 f t e l s e
kaustbytema;k au1 s t b y: t e:2 m a
kauste;k a1 U s t e
kaustisen;k a1 U s t i s e n
kaustpv;k a1 U s t p e:2 v e:
kautby;k au1 t b y:2
kautiala;k a1 U t i a l a
kautokeino;k a1 U t o k e2 i n o
kautolahti;k a1 U t o l a2 h t i
kautta;k a1 U tt a
kauttonen;k a1 U tt o n e n
kauvosaari;k a1 U v o s a:2 r i
kauwi;k a1 U v i
kavala;k a1 v a l a
kavanaughs;k {1 v a n o:
kavanders;k a v a1 n d { r s
kavar;k a:1 v a r
kavel;k a:1 v e l
kävelykioski;k {1 v e l y k i2 o s k i
kävelyklubi;k e:2 v e l y2 k l u2 b i
kaven;k a v e:1 n
kaverinen;k a1 v e r i n e n
kaverit;k a1 v e r i t
kaviarströmming;k a v i a:1 r s t r &2 mm i N
kaviartuber;k a v i a:1 r t u:2 b { r
kavilo;k a1 v i l o
kavlad;k a:1 v l a d
kavlugnt;k a:1 v l u2 N t
kawasumi;k a v a s U:1 m i
kay;k a1 jj
käynnistäisi;k {1 y nn i s t { i s i
käypä;k {1 y p {
kazachstan;k a s a k s t a:1 n
kazakiskan;k a s a:1 k i s k a n
kazakstaniern;k a s a k s t a:1 n i { rn
kazakstanskt;k a s a k s t a:1 n s k t
kazan;k a s a:1 n
kazimir;k a1 s i m i r
kazuo;k a s U:1 o
kbs;k o: b e: e1 ss
kbt;k o: b e: t e:1
kby;k o:1 b y:2
kbyspelen;k o:1 b y: s p e:2 l e n
kc;k o:1 s e:2
kcsa;k o: s e: ? e ss a:1
kdc;k o: d e: s e:1
ke;k e1
keach;k i:1 tj
kean;k i:1 n
keanu;k i a:1 n u
keathy;k e1 j t y
kebaben;k e b a1 bb e n
kebabfabrik;k e b a1 bb f a b r i:2 k
kebabflarn;k e b a1 bb f l a:2 rn
kebabfrestelse;k e b a1 bb f r e2 s t e l s e
kebabpåsarna;k e b a1 bb p o:2 s a rn a
kebabprodukter;k e b a1 bb p r o d u1 k t { r
kebabsås;k e b a1 bb s o:2 s
keblyte;k e b l y:1 t e
kebnekaise;k e b n e k a1 j s e
kebnekaises;k e b n e k a1 j s e s
kecklund;k e1 kk l u2 n d
kecklunds;k e1 kk l u2 n d s
kecskés;k e1 tj k i: s
kedi;k e1 d i
kedjebord;tj e:1 d j e b U:2 rd
kedjechef;tj e:1 d j e S e:2 f
kedjeföretagens;tj e:1 d j e f 9:2 r e t a: g e n s
kedjekamrater;tj e:1 d j e k a m r a:2 t { r
kedjekläder;tj e:1 d j e k l e:2 d { r
kedjekompis;tj e:1 d j e k o2 m p i s
kedjekompisar;tj e:1 d j e k o2 m p i s a r
kedjekompisen;tj e:1 d j e k o2 m p i s e n
kedjekrock;tj e:1 d j e k r o2 kk
kedjereaktioner;tj e:1 d j e r e a k tj U:2 n { r
kedjornas;tj e:1 d j o rn a s
keeffe;k i:1 f
keeffes;k i:1 f s
keegan;k i:1 g { n
keeling;k i:1 l i N
keelingkurvan;k i:1 l i N k u2 r v a n
keelings;k i:1 l i N s
keene;k i:1 n
keeper;k i:1 p { r
keepern;k i:1 p { rn
keflavik;k e1 f l a v i:2 k
kehän;k e1 h { n
kehittäminen;k e1 h i tt { m i n e n
kehittyvien;k e1 h i tt y v i e n
kehitys;k e1 h i t y s
kehitysvammaisten;k e1 h i t y s v a2 mm a i s t e n
kehoe;k i:1 9 U
kehoes;k e1 h 9 U s
kehtaa;k e1 h t a:
kehtaanko;k e1 h t a: n k o
kei;k e1 jj
keikkor;k e1 i kk o r
keiko;k e1 i k o
keino;k e1 i n o
keir;k i:1 r
keira;k e1 j r a
keiramo;k e1 j r a m o
keisalo;k e1 i s a l o
keisari;k e1 i s a r i
keistinen;k e1 j s t i n e n
keit;k e1 i t
keita;k e1 j t a
keitel;k e1 j t e l
keithy;k i:1 T i
keitilä;k e1 i t i l {
keittiössä;k e1 i tt i & ss {
kejsarhuset;tj e1 j s a r h u:2 s e t
kejsarpingvinernas;tj e1 j s a r p i N v i:2 n { rn a
kejsarrätt;tj e1 j s a r r e2 tt
kejsars;tj e1 j s a r s
kejsarsnitten;tj e1 j s a r s n i2 tt e n
kejsartida;tj e1 j s a r t i:2 d a
kejvsalöfjärden;tj e1 j v s a l &: f j {:2 rd e n
kékfrankos;k e:1 k f r a2 N k o s
kekke;k e1 kk e
kekkoneneran;k e1 kk o n e n e:2 r a n
kekkonenoperan;k e1 kk o n e n U:2 p e r a n
kekkonentidens;k e1 kk o n e n t i:2 d e n s
keko;k e1 k o
kekri;k e1 k r i
kelan;k e1 l a n
keldjuren;tj e:1 l d j u:2 r e n
keldjurens;tj e:1 l d j u:2 r e n s
keldjuret;tj e:1 l d j u:2 r e t
keldjurspassare;tj e:1 l d j u: r s p a2 ss a r e
kelekay;k e1 l e k e j
keliber;k e1 l i b e r
kelibers;k e1 l i b { r s
kelkisse;tj e:1 l k i2 ss e
kellari;k e1 ll a r i
kellie;k e1 ll i
kello;k e1 ll o
kelloaika;k e1 ll o a2 j k a
kellomäki;k e1 ll o m {2 k i
kelly;k e1 ll y
kelpo;k e1 l p o
kelsey;k e1 l s i
keltainen;k e1 l t a i n e n
keltasirkku;k e1 l t a s i2 r kk U
keltävling;tj e:1 l t e:2 v l i N
kelviå;tj e1 l v i o
kelviåelever;k e1 l v i o e l e:2 v { r
kelviåstafetten;k e1 l v i o s t a f e2 tt e n
kelviåvägen;k e1 l v i o: v e:2 g e n
kely;k e1 l y
kelys;k e1 l y s
kembleford;k e1 m b e l f o:2 rd
kemblefords;k e1 m b l e f o: rd s
kemblefordskogen;k e1 m b l e f o: rd s k U:2 g e n
kemetter;k e m e1 tt { r
kemiarbetarna;tj e m i:1 a r b e:2 t a rn a
kemibranschen;tj e m i:1 b r a2 n S e n
kemifabrik;tj e m i:1 f a b r i:2 k
kemiföretagen;tj e m i:1 f 9:2 r e t a: g e n
kemiindustrin;tj e m i:1 i n d u s t r i:2 n
kemiindustriprojekt;tj e m i:1 i n d u s t r i: p r o S e2 k t
kemiingenjören;tj e m i:1 i n S e n j 9:2 r e n
kemikalie;tj e m i k a:1 l i e
kemikalieåtervinning;tj e m i k a:1 l i e o:2 t { r v i nn i N
kemikalieåtervinningen;tj e m i k a:1 l i e o:2 t { r v i nn i N e n
kemikalieblandning;tj e m i k a:1 l i e b l a2 n d n i N
kemikalieblandningen;tj e m i k a:1 l i e b l a2 n d n i N e n
kemikaliebolaget;tj e m i k a:1 l i e b U:2 l a: g e t
kemikaliecocktailen;tj e m i k a:1 l i e k o2 kk t e j l e n
kemikaliefaran;tj e m i k a:1 l i e f a:2 r a n
kemikalieflaska;tj e m i k a:1 l i e f l a2 s k a
kemikalieförgiftning;tj e m i k a:1 l i e f 9 j i2 f t n i N
kemikaliefri;tj e m i k a:1 l i e f r i:2
kemikalielaboratoriet;tj e m i k a:1 l i e l a b U r a t U:2 r i e t
kemikalieläckage;tj e m i k a:1 l i e l e k a:2 S
kemikalien;tj e m i k a:1 l i e n
kemikaliernas;tj e m i k a:1 l i { rn a s
kemikalietillsyn;tj e m i k a:1 l i e t i2 ll s y: n
kemikalietunnor;tj e m i k a:1 l i e t u2 nn o r
kemikalieverket;tj e m i k a:1 l i e v {2 r k e t
kemikalisering;tj e m i k a l i s e:1 r i N
kemikaliska;tj e m i k a:1 l i s k a
kemiklubben;tj e m i:1 k l u2 bb e n
kemilärare;tj e m i:1 l {:2 r a r e
kemilektion;tj e m i:1 l e k tj U:2 n
keminmaan;k e1 m i n m a: n
kemipristagaren;tj e m i:1 p r i:2 s t a: g a r e n
kemira;k e1 m i r a
kemiras;k e1 m i r a s
kemis;k e1 m i s
kemistklubben;tj e m i1 s t k l u2 bb e n
kemists;tj e m i1 s t s
kemistudenten;tj e m i:1 s t u d e2 n t e n
kemiteknik;tj e m i:1 t e k n i:2 k
kemitimme;tj e m i:1 t i2 mm e
kemnitz;k e1 m n i t s
kemora;k e1 m o r a
kemp;k e1 m p
kempa;k e1 m p a2
kempeleen;k e1 m p e l e: n
kempy;k e1 m p y
kemtu;k e1 m t U
kemvapnen;tj e:1 m v a:2 p n e n
ken;k e1 nn
kenan;k e n a1 nn
kendo;k e1 n d o
kendon;k e1 n d o n
kendran;k e1 n d r a n
kendrick;k e1 n d r i k
kenenisa;k e n e n i s a:1
kengityssepät;k e1 NN i t y s s e2 p { t
keni;k e1 n i
kenianska;k e n i a:1 n s k a
kennedymordet;k e1 nn e d y m U:2 rd e t
kennelägaren;k e1 nn e l e:2 g a r e n
kennelförening;k e1 nn e l f 9 r e:2 n i N
kenneln;k e1 nn e l n
kennet;k e1 nn e t
kenns;k e1 n s
keno;k e:1 n o
kenobi;k e n 91 U b i
kens;k e1 n s
kensington;k e1 n s i N t o n
kentlåtar;k e1 n t l o:2 t a r
kentrosaurus;k e n t o s au1 r u s
kenttäurheilijat;k e1 n tt { U2 r h e i l i j a t
kenya;k e:1 n y a
kenyaälskare;k e:1 n y a e2 l s k a r e
kenyafödda;k e:1 n i a f &2 dd a
kenyamissionärer;k e:1 n y a m i S U n {:2 r { r
kenyamissionen;k e:1 n y a m i S U:2 n e n
kenyanaren;k e n y a:1 n a r e n
kenyanskor;k e n i a:1 n s k o r
kenyatta;k e n i a:1 t a
kenzaburo;k e n s a b r o:1
kenzie;k e1 n t s i
keo;k e:1 o
kepa;k e1 p a
kepler;k e1 p l { r
keplerboken;k e1 p l { r b U:2 k e n
keplereffekten;k e1 p l { r e f e2 k t e n
keqiang;k 9 tj a1 NN
kerää;k e1 r {:
kerala;k e r a:1 l a
kerälä;k e1 r { l {
keralas;k e1 r a l a s
keramikfabrik;k e r a m i:1 k f a b r i:2 k
keramikfabriksgatan;k e r a m i:1 k f a b r i: k s g a:2 t a n
keramikföreningen;k e r a m i:1 k f 9 r e:2 n i N e n
keramikkonstnär;k e r a m i:1 k k o n s t n {:2 r
keramikkonstnärinnan;k e r a m i:1 k k o n s t n { r i2 nn a n
keramikkurs;k e r a m i:1 k k u2 r s
keramikmuggar;k e r a m i:1 k m u2 gg a r
keramiktomte;k e r a m i:1 k t o2 m t e
keramikutställning;k e r a m i:1 k u:2 t s t e l n i N
keramikverkstad;k e r a m i:1 k v {2 r k s t a: d
kerätär;k e1 r { t { r
keravan;k e1 r a v a n
kerber;k {1 r b { r
kerbs;k {1 r b s
kerho;k e1 r h o
keri;k e1 r i
kerisalonsaari;k e1 r i s a l o n s a:2 r i
kerkkoon;k e1 r kk o: n
kernberg;k {:1 rn b {2 r i
kerosin;k e r o s i:1 n
kerran;k e1 rr a n
kerros;k e1 rr o s
kersti;tj {1 r s t i
kerstin;tj {1 r s t i n
kertaa;k e1 r t a:
kerteminde;k {:1 rd e m i2 n d e
kertj;k e1 r tj
kertomuksia;k e1 r t o m U2 k s i a
kertova;k e1 r t o v a
keruben;tj e r u:1 b e n
kerubis;k e1 r u b i s
kervovägen;tj {1 r v o v e:2 g e n
kesäduunari;k e1 s { d U:2 n a r i
kesäkaverit;k e1 s { k a2 v e r i t
kesän;k e1 s { n
kesärauha;k e1 s { r a2 U h a
kesk;k e1 s k
keskellä;k e1 s k e ll {
kesken;k e1 s k e n
keski;k e1 s k i
keskiaho;k e1 s k i a2 h o
keskikuru;k e1 s k i k U r U
keskilä;k e1 s k i l {
keskimaa;k e1 s k i m a:2
keskin;k e1 s k i n
keskipäivän;k e1 s k i p {2 j v { n
keskipohjanmaas;k e1 s k i n p o2 h j a n m a: s
keskipoikela;k e1 s k i p o2 j k e l a
keskiruokanen;k e1 s k i r U2 o k a n e n
keskisalo;k e1 s k i s a2 l o
keskisalos;k e1 s k i s a2 l o s
keskisipilä;k e1 s k i s i2 p i l {
keskisuomalainen;k e1 s k i s U2 o m a l a j n e n
keskisuomen;k e1 s k i s U2 o m e n
keskiuyu;k e1 s k i u2 y u
keskomannen;k e1 s k o m a2 nn e n
keskus;k e1 s k U s
keskuskoulu;k e1 s k U s k o2 U l U
keskuskoulus;k e1 s k U s k o2 U l U s
keskusliitto;k e1 s k U s l i:2 tt o
keskuslukio;k e1 s k U s l U2 k i o
keskustan;k e1 s k U s t a n
keskustelut;k e1 s k U s t e l U t
kessi;k e1 ss i
kessis;k e1 ss i s
kessy;k e1 s i
kestävän;k e1 s t { v { n
kestävyysliikunta;k e1 s t { v y: s l i:2 k U n t a
ketäla;k e1 t { l a
ketälä;k e1 t { l {
ketchupeffekt;k e1 tj u p e f e2 k t
ketchupen;k e1 tj u p e n
ketchupfabrikör;k e1 tj u p f a b r i k 9:2 r
ketchupflaskan;k e1 tj u p f l a2 s k a n
ketchupmättade;k e1 tj u p m e2 tt a d e
ketek;k e1 t e k
ketelä;k e1 t e l {
ketelävaasan;k e1 t e l { v a:2 s a n
kethen;k e:1 t e n
ketoja;k e1 t o j a
ketojas;k e1 t o j a s
ketoner;k e t U:1 n { r
ketoprofen;k e t o p r o f e:1 n
ketterä;k e1 tt e r {
kettlebell;k e1 t l b e2 ll
kettlebells;k e1 t l b e2 l s
kettlebellträning;k e1 t l b e ll t r e:2 n i N
kettumäki;k e1 tt U m {2 k i
keturi;k e1 t U r i
keukenhof;k eu1 k e n h o:2 f
keupa;k e1 U p a
keurki;k e1 U r k i
keurusselkä;k eu1 r U s s e2 l k {
keuruun;k e1 U r U: n
keva;k e1 v a
keväjärvi;k e1 v { j {2 r v i
kevas;k e1 v a s
kevät;k e1 v { t
keventäjät;k e1 v e n t { j { t
kevlar;k e1 v l a r
kevojärvi;k e1 v o j {2 r v i
kevyn;k e1 v y n
kewatec;k e1 v a t e k
kexfabriken;k e1 k s f a b r i:2 k e n
kextv;k e1 k s t e:2 v e:
keyboard;k i:1 b o:2 rd
keyboarden;k i:1 b o:2 rd e n
keyboardist;k i: b o: rd i1 s t
keyboardisten;k i: b o rd i1 s t e n
keyboards;k i:1 b o:2 rd s
keyboardstoner;k i:1 b o: rd s t U:2 n { r
keylor;k e1 j l o r
keynes;k e1 j n s
kfbk;k o: ? e ff b e: k o:1
kfum;k o: ? e ff u: ? e1 mm
kgalema;k g a l e:1 m a
kgf;k o: g e: ? e1 ff
kgp;k o: g e: p e:1
khadka;k a1 d k a
khairat;k h e1 i r a:1 t
khakifärgade;k h a k i:1 f {2 r j a d e
khaldieh;k a1 l d i e
khaled;k a:1 l e d
khalfi;k a1 l f i
khalil;k a1 l i l
khalili;k a l i:1 l i
khalsa;k a:1 l s a
khamenei;k h a m e n e i:1
khanen;k a:1 n e n
khankan;k a1 N k a n
kharraki;k a r a:1 k i
khartum;k a1 r t u m
khartums;k a1 r t u m s
khasoggi;h a:1 S o g S i:
khawaya;k a v a1 jj a
khayyáms;h a j a:1 m s
khelaifi;k e l a i1 ff i
khemiri;k e m i:1 r i
khemiris;k e m i:1 r i s
khieu;k i eu1
khls;k o: h o: ? e ll e1 ss
khmer;k m e:1 r
khp;k o: h o: p e:1
khryapa;h r a:1 p a
khym;k y1 mm
kiasmas;k i a1 s m a s
kiba;k i1 b a
kibera;k i b e:1 r a
kibona;k i b 91 U n a
kichizo;dZ i tj i:1 s o
kicker;k i1 kk { r
kickers;k i1 kk { r s
kicki;k i1 kk i
kickis;k i1 kk i s
kickoff;k i1 kk o2 ff
kicks;k i1 k s
kicktorsken;k i1 kk t o2 r s k e n
kicky;k i1 kk y
kidal;k i1 dd a:2 l
kidd;k i1 dd
kidding;k i1 d i N
kidnappningarna;k i1 dd n a2 p n i N a rn a
kidnappningsdramat;k i1 dd n a p n i N s d r a:2 m a t
kidnappningsförsök;k i1 dd n a p n i N s f 9 s &:2 k
kidnappningsoffer;k i1 dd n a p n i N s o2 ff { r
kidsen;k i1 d s e n
kiduttajalle;k i1 d U tt a j a2 ll e
kieha;k i1 e h a2
kiekko;k j e:1 kk o
kiekkos;k j e:1 kk o s
kieksinkaarikröken;k i1 e k s i n k a: r i k r &:2 k e n
kiel;k i:1 l
kielen;k i1 e l e n
kielenniva;k i1 e l e n n i2 v a
kieli;k i1 e l i
kielipoliittinen;k i1 e l i p o2 l i: tt i n e n
kielistigen;k i1 e l i s t i:2 g e n
kielitaito;k i1 e l i t a2 i t o
kiellettävä;k j e:1 ll e tt { v {
kieppi;k j e:1 pp i
kieppis;k j e:1 pp i s
kier;k i:1 { r
kieran;k i e:1 r a n
kierros;k j e: rr o s
kierrosennakko;k j e rr o s e2 nn a kk o
kieslowski;k i s l o1 f s k i
kieslowskis;k i s l o1 v s k i s
kiestinkaarikröken;k i1 e s t i N k a: r i k r &:2 k e n
kiestinki;k i1 e s t i N k i
kieth;k i:1 T
kietz;k i:1 t s
kiev;k i:1 v
kievpatriarkatet;k i:1 v p a t r i a r k a:2 t e t
kievs;k i:1 v s
kiffen;k i1 ff e n
kihiliina;k i1 h i l i: n a
kihlman;k i:1 l m a2 nn
kiho;k i1 h o
kihus;k i1 h U s
kiilakoski;k i:1 l a k o2 s k i
kiilat;k i:1 l a t
kiilata;k i:1 l a t a
kiilholma;k i:1 l h o2 l m a
kiimingin;k i:1 m i N i n
kiinalainen;k i:1 n a l a2 i n e n
kiinanmaalta;k i:1 n a n m a:2 l t a
kiinasta;k i:1 n a s t a
kiinnostuksen;k i:1 nn o s t U k s e n
kiinteistö;k i:1 n t e j s t &
kiinteistökehitys;k i:1 n t e j s t & k e2 h i t y s
kiinteistömaailma;k i:1 n t e i s t & m a:2 i l m a
kiinteistönvälitysalan;k i:1 n t e i s t & n v { l i t y s a2 l a n
kiinteistöt;k i:1 i n t e i s t & t
kiinteistötekniikka;k i:1 n t e j s t & t e2 k n i: kk a
kiinteistötekniikkas;k i:1 n t e j s t & t e2 k n i: kk a s
kiipeli;k i:1 p e l i
kiipula;k i:1 p U l a
kiir;k i:1 r
kiisk;tj i:1 s k
kiisksjön;tj i:1 s k S &2 nn
kiista;k i:1 s t a
kiisto;k i:1 s t o
kiistoa;k i:1 s t o a
kiistos;k i:1 s t o s
kiitola;k i:1 t o l a
kiitollisuudella;k i:1 t o ll i s u:2 d e ll a
kiitos;k i:1 i t o s
kiittää;k i:1 tt {:
kiittäen;k i:1 tt { e n
kikärtor;tj i:1 k {2 r t o r
kikärtsgryta;tj i:1 k { r t s g r y:2 t a
kikhoste;tj i:1 k h U2 s t e
kikhostevaccin;tj i:1 k h U s t e v a k s i:2 n
kikhostevaccinet;tj i:1 k h U s t e v a k s i:2 n e t
kiki;k i:1 k i
kikis;k i:1 k i s
kikkan;k i1 kk a n
kikken;k i1 kk e n
kikkens;k i1 kk e n s
kikwete;k i k v e:1 t e
kiky;k i1 k y
kilav;tj i:1 l a v
kilde;tj i1 l d e
kilformad;tj i:1 l f o2 r m a d
kilformade;tj i:1 l f o2 r m a d e
kilimanjaro;k i l i m a n j a:1 r o
kilimanjaros;k i l i m a n j a:1 r o s
kilingholmen;tj i1 ll i N h o2 l m e n
kiljala;k i1 l j a l a
kilkanen;k i1 l k a n e n
killarneyfarmen;k i l 9:1 rn i f a2 r m e n
killed;k i1 l d
killer;k i1 l { r
killerapp;k i1 ll { r a2 pp
killi;k i1 ll i
killik;k i1 ll i k
killinen;k i1 ll i n e n
killinggänget;tj i1 ll i N j e2 NN e t
killingholmen;tj i1 ll i N h o2 l m e n
killingholmsbarnen;tj i1 ll i N h o l m s b a:2 rn e n
killingterapi;tj i1 ll i N t e r a p i:2
killington;k i1 ll i N t o n
kills;k i1 l s
kilmarnock;k i l m a1 rn o kk
kilmarnocks;k i l m a1 rn o k s
kilmister;k i1 l m i s t { r
kilogrammet;k i1 l o g r a2 mm e t
kilograms;k i1 l o g r a2 m s
kiloklubi;k i1 l o k l U2 b i
kiloklubis;k i1 l o k l U2 b i s
kilometerarvode;k i1 l o m e: t e r a2 r v U: d e
kilometerbegränsning;k i l o m e:1 t { r b e g r e2 n s n i N
kilometerbreda;k i1 l o m e: t { r b r e:2 d a
kilometerersättning;k i1 l o m e: t { r {:2 r s e t n i N
kilometerersättningar;k i l o m e:1 t { r {:2 r s e t n i N a r
kilometerersättningarna;k i l o m e:1 t { r {:2 r s e t n i N a rn a
kilometerersättningen;k i l o m e:1 t { r {:2 r s e t n i N e n
kilometerna;k i l o m e:1 t { rn a
kilometerpriset;k i1 l o m e: t { r p r i:2 s e t
kilometersetapp;k i l o m e:1 t { r s e t a2 pp
kilometerslopp;k i l o m e:1 t { r s l o2 pp
kilometersloppet;k i l o m e:1 t { r s l o2 pp e t
kilometerspromenad;k i l o m e:1 t { r s p r o m e n a:2 d
kilometersslingan;k i l o m e:1 t { r s s l i2 NN a n
kilometersstafett;k i1 l o m e: t { r s s t a f e2 tt
kilometerstävlingen;k i l o m e:1 t { r s t e:2 v l i N e n
kilometertiden;k i l o m e:1 t { r t i:2 d e n
kilona;k i1 l o n a
kilosflaskor;k i l o s f l a2 s k o r
kilosklass;k i l o s k l a2 ss
kilosklassen;k i l o s k l a1 ss e n
kilosvoltsledning;k i l o s v o l t s l e:2 d n i N
kilovolt;k i1 l o v o2 l t
kilovolts;k i1 l o v o2 l t s
kilovoltsledning;k i l o v o l t s l e:2 d n i N
kilovoltsledningen;k i l o v o l t s l e:2 d n i N e n
kilovoltsstolpe;k i l o v o l t s s t o2 l p e
kilowatts;k i1 l o v a2 t s
kilpa;k i1 l p a
kilpaveljet;k i1 l p a v e2 l j e t
kilpisjärvi;k i1 l p i s j {2 r v i
kilta;k i1 l t a
kiltumme;tj i:1 l t u2 mm e
kilvoittelijan;k i1 l v o j tt e l i j a n
kimberly;k i1 m b { r l y
kimchi;k i1 m tj i
kimchin;k i1 m tj i n
kimiläinen;k i1 m i l { i n e n
kimitobarnen;tj i1 m i t o b a:2 rn e n
kimitobo;tj i1 m i t o b U:2
kimitobon;tj i1 m i t o b U:2 n
kimitobornas;tj i1 m i t o b U:2 rn a s
kimitofestspel;tj i1 m i t o f e2 s t s p e: l
kimitonejdens;tj i1 m i t o n e2 j d e n s
kimitoö;tj i1 m i t o &:2
kimitoöbon;tj i1 m i t o &: b U:2 n
kimitoöbor;tj i1 m i t o &: b U:2 r
kimitoöborna;tj i1 m i t o &: b U:2 rn a
kimitotrakten;tj i1 m i t o t r a2 k t e n
kimobarnen;tj i1 m o b a:2 rn e n
kimono;k i m o:1 n o
kimpassa;k i1 m p a ss a
kimpisen;k i1 m p i s e n
kimppakyydillä;k i1 m pp a k y:2 d i ll {
kimppakyyti;k i1 m pp a k y:2 t i
kimstore;k i1 mm s t o:2 r
kinakål;tj i:1 n a k o:2 l
kinakortet;tj i:1 n a k U:2 r t e t
kinakritiker;tj i:1 n a k r i:2 t i k { r
kinakrogar;tj i:1 n a k r U:2 g a r
kinamuren;tj i:1 n a m u:2 r e n
kinapaketen;tj i:1 n a p a k e:2 t e n
kinaresenärerna;tj i:1 n a r e s e n {:2 r { rn a
kinberg;tj i1 nn b {2 r i
kindergarten;k i1 n d { r g a2 r t e n
kindmusklerna;tj i1 n d m u2 s k l { rn a
kindpussarna;tj i1 n d p u2 ss a rn a
kindstedt;tj i1 n d s t e2 tt
kindstrand;tj i1 n d s t r a2 n d
kindtänder;tj i1 n d t e2 n d { r
kinect;k i n e1 k t
kinesics;k i1 n e s i k s
kinesiskbyggda;tj i n e:1 s i s k b y2 g d a
kinesisktillverkade;tj i n e:1 s i s k t i2 ll v { r k a d e
kingisepp;k i n g i s e1 pp
kingsley;k i1 N s l i
kingsman;k i1 N s m { n
kingsmeadow;k i1 N s m e2 d 9 U
kingswin;k i1 N s w i2 nn
kinin;k i n i:1 n
kinkaid;k i1 N k e j d
kinn;k i1 nn
kinna;k i1 nn a
kinnaman;k i1 nn a m a2 nn
kinnear;k i n i:1 r
kino;k i1 n o
kinojuhlat;k i1 n o j U2 h l a t
kinopalatsi;k i1 n o p a l a2 t s i
kinoproduction;k i1 n o p r o d a2 k tj & n
kinosmaa;k i1 n o s m a:2
kinotuotanto;k i1 n o t a2 U t a n t o
kins;k i1 n s
kinsberg;k i1 n s b {2 r i
kintopf;k i1 n t o f
kinuski;tj i n u1 s k i
kinuskin;tj i n u1 s k i n
kinuskisås;tj i n u1 s k i s o:2 s
kiona;k i 91 U n a
kioskarkitekturen;k i o1 s k a r k i t e k t u:2 r e n
kioskbeståndet;k i o1 s k b e s t o2 n d e t
kioskbygget;k i o1 s k b y2 gg e t
kioskenbilen;k i o1 s k e n b i:2 l e n
kioskernas;k i o1 s k { rn a s
kioskflora;k i o1 s k f l U:2 r a
kioskförsäljare;k i o1 s k f 9 s e2 l j a r e
kioskförsäljaren;k i o1 s k f 9 s e2 l j a r e n
kioskförsäljningen;k i o1 s k f 9 s e2 l n i N e n
kioskgruppens;k i o1 s k g r u2 pp e n s
kioski;k i1 o s k i
kioskikedjan;k i1 o s k i tj e:2 d j a n
kioskis;k i1 o s k i s
kiosklitterär;k i o1 s k l i t e r {:2 r
kiosklitteratur;k i o1 s k l i t e r a t u:2 r
kioskrån;k i o1 s k r o:2 n
kioskrånare;k i o1 s k r o:2 n a r e
kioskrånet;k i o1 s k r o:2 n e t
kip;k i1 pp
kipa;k i:1 p a
kipchoge;k i p S o:1 g e
kipinämikko;k i1 p i n { m i2 kk o
kipling;k i1 p l i N
kiplings;k i1 p l i N s
kippari;k i1 pp a r i
kipparihall;k i1 pp a r i h a2 ll
kipparihallen;k i1 pp a r i h a2 ll e n
kipparit;k i1 pp a r i t
kipparlahden;k i1 pp a r l a2 h d e n
kippas;tj i1 pp a s
kipponen;k i1 pp o n e n
kiprian;k i1 p r i a n
kiprusoffs;k i1 p r u s o2 f s
kipsang;k i1 p s a N
kirakkajärvi;k i1 r a kk a j {2 r v i
kiramo;k i1 r a m o
kirani;k i r a:1 n i
kirchhoff;k i1 r S h o2 ff
kirchner;k i1 r S n { r
kirchsteiger;k i1 r S t a2 j g { r
kirchsteigers;k i1 r S t a2 j g { r s
kire;k i:1 r e
kirgiserna;k i r g i:1 s { rn a
kirgisien;k i r g i:1 s i e n
kirgisiens;k i r g i:1 s i e n s
kirgisisk;k i r g i:1 s i s k
kirgisiska;k i r g i:1 s i s k a
kirgisiskt;k i r g i:1 s i s t
kiribati;k i r i b a1 ss
kiril;k i1 r i l
kirilä;k i1 r i l {
kirillova;k i r i l o:1 v a
kiririnki;k i1 r i r i2 N k i
kirja;k i1 r j a
kirjaamo;k i1 r j a: m o
kirjakauppa;k i1 r j a k a2 U pp a
kirjakestit;k i1 r j a k e2 s t i t
kirjala;k i1 r j a l a
kirjallisuuden;k i1 r j a ll i s U:2 d e n
kirjantekilöille;k i1 r j a n t e2 k i l & i ll e
kirjapaino;k i1 r j a p a2 i n o
kirjat;k i1 r j a t
